order_id,order_date,customer_id,product_id,sales,quantity,profit
CA-2019-103800,2019-01-03,DP-13000,OFF-PA-10000174,16.448,2,5.5512
CA-2019-112326,2019-01-04,PO-19195,OFF-LA-10003223,11.784,3,4.2717
CA-2019-112326,2019-01-04,PO-19195,OFF-ST-10002743,272.736,3,-64.7748
CA-2019-112326,2019-01-04,PO-19195,OFF-BI-10004094,3.54,2,-5.487
CA-2019-141817,2019-01-05,MB-18085,OFF-AR-10003478,19.536,3,4.884
CA-2019-167199,2019-01-06,ME-17320,OFF-AR-10001662,5.48,2,1.4796
CA-2019-167199,2019-01-06,ME-17320,FUR-CH-10004063,2573.82,9,746.4078
CA-2019-167199,2019-01-06,ME-17320,OFF-BI-10004632,609.98,2,274.491
CA-2019-106054,2019-01-06,JO-15145,OFF-AR-10002399,12.78,3,5.2398
CA-2019-167199,2019-01-06,ME-17320,TEC-PH-10004977,391.98,2,113.6742
CA-2019-167199,2019-01-06,ME-17320,TEC-PH-10004539,755.96,4,204.1092
CA-2019-167199,2019-01-06,ME-17320,OFF-FA-10001883,31.12,4,0.3112
CA-2019-167199,2019-01-06,ME-17320,OFF-PA-10000955,6.54,1,3.0084
CA-2019-130813,2019-01-06,LS-17230,OFF-PA-10002005,19.44,3,9.3312
CA-2019-105417,2019-01-07,VS-21820,FUR-FU-10004864,76.728,3,-53.7096
CA-2019-105417,2019-01-07,VS-21820,OFF-BI-10003708,10.43,7,-18.2525
CA-2019-135405,2019-01-09,MS-17830,OFF-AR-10004078,9.344,2,1.168
CA-2019-135405,2019-01-09,MS-17830,TEC-AC-10001266,31.2,3,9.75
CA-2019-149020,2019-01-10,AJ-10780,FUR-FU-10000965,51.94,1,21.2954
CA-2019-149020,2019-01-10,AJ-10780,OFF-LA-10004272,2.89,1,1.3583
CA-2019-130092,2019-01-11,SV-20365,FUR-FU-10000010,9.94,2,3.0814
CA-2019-162775,2019-01-13,CS-12250,OFF-ST-10000025,572.58,6,34.3548
CA-2019-162775,2019-01-13,CS-12250,OFF-BI-10004187,5.64,3,2.7072
CA-2019-157147,2019-01-13,BD-11605,OFF-AR-10003514,19.9,5,6.567
CA-2019-118192,2019-01-13,MM-17920,OFF-BI-10003476,3.438,2,-2.5212
CA-2019-157147,2019-01-13,BD-11605,OFF-ST-10000078,1325.85,5,238.653
CA-2019-118192,2019-01-13,MM-17920,OFF-PA-10002947,37.408,7,13.0928
CA-2019-162775,2019-01-13,CS-12250,OFF-EN-10001990,11.36,2,5.3392
CA-2019-109232,2019-01-13,ND-18370,FUR-CH-10000422,545.94,6,87.3504
CA-2019-157147,2019-01-13,BD-11605,FUR-BO-10003034,333.999,3,3.9294
CA-2019-162775,2019-01-13,CS-12250,OFF-EN-10001532,50.94,3,25.47
CA-2019-162775,2019-01-13,CS-12250,TEC-AC-10003174,646.74,6,258.696
CA-2019-149524,2019-01-14,BS-11590,FUR-BO-10003433,61.96,4,-53.2856
CA-2019-103366,2019-01-15,EH-13990,TEC-AC-10003628,149.95,5,65.978
CA-2019-115791,2019-01-16,DL-13315,OFF-LA-10001074,30.072,3,10.1493
CA-2019-115791,2019-01-16,DL-13315,FUR-FU-10001095,127.104,6,28.5984
CA-2019-115791,2019-01-16,DL-13315,TEC-PH-10004614,124.2,3,-31.05
CA-2019-115791,2019-01-16,DL-13315,OFF-BI-10001575,18.588,2,-13.6312
CA-2019-123477,2019-01-18,DW-13195,OFF-AP-10000692,64.864,4,6.4864
CA-2019-146591,2019-01-19,TS-21340,OFF-BI-10003676,32.34,10,-23.716
CA-2019-146591,2019-01-19,TS-21340,OFF-PA-10000659,56.064,4,19.6224
CA-2019-146591,2019-01-19,TS-21340,OFF-EN-10002504,108.72,5,36.693
CA-2019-146591,2019-01-19,TS-21340,FUR-BO-10001972,181.47,5,-320.597
CA-2019-167927,2019-01-20,XP-21865,FUR-FU-10002268,14.73,3,4.8609
CA-2019-167927,2019-01-20,XP-21865,OFF-BI-10004364,29.7,5,13.365
CA-2019-148614,2019-01-20,MV-17485,OFF-PA-10002893,19.36,2,9.2928
US-2019-147774,2019-01-20,MM-18280,OFF-BI-10003091,67.194,1,-51.5154
CA-2019-167927,2019-01-20,XP-21865,OFF-AR-10004456,43.92,3,12.7368
US-2019-147627,2019-01-20,HL-15040,FUR-FU-10003194,38.6,4,11.58
US-2019-147627,2019-01-20,HL-15040,OFF-AR-10003811,6.63,3,1.7901
CA-2019-167927,2019-01-20,XP-21865,OFF-ST-10003123,66.58,2,15.9792
US-2019-147627,2019-01-20,HL-15040,FUR-CH-10002331,1067.94,3,224.2674
CA-2019-167927,2019-01-20,XP-21865,OFF-BI-10000605,19.05,5,8.9535
CA-2019-167927,2019-01-20,XP-21865,FUR-FU-10002918,272.94,3,30.0234
CA-2019-167927,2019-01-20,XP-21865,OFF-ST-10000760,13.98,1,4.0542
US-2019-147627,2019-01-20,HL-15040,OFF-EN-10001539,23.34,3,10.9698
US-2019-147627,2019-01-20,HL-15040,OFF-AR-10002375,22.96,7,6.6584
CA-2019-148614,2019-01-20,MV-17485,FUR-FU-10003194,19.3,2,5.79
CA-2019-167927,2019-01-20,XP-21865,OFF-AP-10002311,247.716,4,93.5816
US-2019-147627,2019-01-20,HL-15040,TEC-PH-10001061,699.93,7,181.9818
CA-2019-110422,2019-01-21,TB-21400,FUR-FU-10001889,25.248,3,4.1028
CA-2019-146997,2019-01-23,SG-20605,OFF-FA-10003467,5.94,3,0.0
CA-2019-102645,2019-01-23,IM-15055,OFF-PA-10001804,40.08,6,19.2384
US-2019-155502,2019-01-26,SD-20485,OFF-PA-10000380,16.68,2,8.34
CA-2019-167997,2019-01-26,CA-11965,FUR-BO-10004409,141.96,2,39.7488
US-2019-155502,2019-01-26,SD-20485,TEC-PH-10002103,187.98,2,52.6344
US-2019-155502,2019-01-26,SD-20485,FUR-FU-10001847,12.42,3,4.4712
US-2019-155502,2019-01-26,SD-20485,TEC-PH-10004833,155.35,13,0.0
US-2019-155502,2019-01-26,SD-20485,OFF-PA-10003072,19.44,3,9.3312
US-2019-155502,2019-01-26,SD-20485,OFF-ST-10004337,489.92,8,0.0
US-2019-155502,2019-01-26,SD-20485,FUR-FU-10004587,62.82,3,30.7818
CA-2019-167997,2019-01-26,CA-11965,OFF-BI-10001758,10.68,2,5.0196
US-2019-117163,2019-01-27,EJ-13720,OFF-ST-10003692,57.23,1,14.3075
US-2019-117163,2019-01-27,EJ-13720,OFF-AR-10003179,36.44,4,12.0252
US-2019-117163,2019-01-27,EJ-13720,FUR-TA-10003469,333.0,3,-16.65
CA-2019-100328,2019-01-28,JC-15340,OFF-BI-10000343,3.928,1,1.3257
CA-2019-134103,2019-01-30,MV-18190,OFF-ST-10000991,229.94,2,6.8982
CA-2019-134103,2019-01-30,MV-18190,OFF-PA-10001204,10.56,2,4.752
CA-2019-115161,2019-01-31,LC-17050,FUR-BO-10003966,290.666,2,3.4196
CA-2019-140795,2019-02-01,BD-11500,TEC-AC-10001432,468.9,6,206.316
CA-2019-123400,2019-02-02,EB-13930,OFF-BI-10000666,18.336,2,-12.224
CA-2019-123400,2019-02-02,EB-13930,TEC-PH-10002890,180.96,5,13.572
CA-2019-139857,2019-02-02,CD-12790,OFF-FA-10001843,12.35,5,5.8045
CA-2019-111059,2019-02-03,TB-21400,OFF-BI-10002827,13.272,3,4.3134
CA-2019-111059,2019-02-03,TB-21400,OFF-BI-10004593,83.84,2,27.248
CA-2019-107181,2019-02-04,DB-13270,OFF-BI-10004230,82.896,3,29.0136
CA-2019-107181,2019-02-04,DB-13270,OFF-PA-10000350,34.24,4,16.0928
CA-2019-104808,2019-02-04,MH-17440,OFF-BI-10003676,17.248,2,6.0368
CA-2019-131905,2019-02-06,ND-18460,TEC-PH-10001615,144.95,5,42.0355
CA-2019-131905,2019-02-06,ND-18460,TEC-PH-10003645,161.61,1,42.0186
CA-2019-131905,2019-02-06,ND-18460,OFF-LA-10002787,15.0,4,7.2
CA-2019-108182,2019-02-06,DL-13315,OFF-BI-10001196,8.952,2,-14.7708
CA-2019-107755,2019-02-07,CK-12760,TEC-AC-10000710,115.36,7,49.6048
US-2019-169390,2019-02-07,CS-12250,OFF-ST-10001558,64.96,4,9.744
CA-2019-125759,2019-02-08,NM-18445,FUR-FU-10002111,14.56,2,5.5328
CA-2019-168368,2019-02-11,GA-14725,OFF-ST-10002583,64.96,2,2.5984
CA-2019-168368,2019-02-11,GA-14725,FUR-CH-10001146,60.89,1,15.2225
CA-2019-168368,2019-02-11,GA-14725,OFF-LA-10004853,14.94,3,6.8724
CA-2019-168368,2019-02-11,GA-14725,OFF-BI-10004728,9.64,2,4.4344
CA-2019-168368,2019-02-11,GA-14725,FUR-FU-10002298,332.94,3,53.2704
CA-2019-127614,2019-02-11,NF-18385,OFF-BI-10003291,17.46,2,8.2062
CA-2019-168368,2019-02-11,GA-14725,OFF-BI-10004654,51.9,3,24.393
CA-2019-127614,2019-02-11,NF-18385,FUR-TA-10003715,1256.22,6,75.3732
CA-2019-127614,2019-02-11,NF-18385,TEC-AC-10001432,234.45,3,103.158
US-2019-110674,2019-02-12,SC-20095,FUR-CH-10000225,129.568,2,-24.294
CA-2019-121762,2019-02-14,ML-17395,OFF-SU-10000157,238.62,2,4.7724
CA-2019-121762,2019-02-14,ML-17395,OFF-AP-10001293,81.96,2,22.9488
CA-2019-121762,2019-02-14,ML-17395,TEC-AC-10000736,239.97,3,86.3892
CA-2019-107706,2019-02-14,ST-20530,OFF-PA-10000466,16.176,3,6.066
CA-2019-165568,2019-02-15,BF-11020,OFF-BI-10001031,21.36,5,7.209
CA-2019-122567,2019-02-16,MN-17935,OFF-BI-10002012,1.08,3,-1.728
CA-2019-122567,2019-02-16,MN-17935,OFF-AP-10001303,7.96,2,-13.93
CA-2019-154165,2019-02-17,DL-13315,OFF-AR-10003631,54.208,14,8.8088
CA-2019-152905,2019-02-18,AB-10015,OFF-ST-10000321,12.624,2,-2.5248
US-2019-165589,2019-02-18,TB-21595,FUR-FU-10002396,25.16,5,-11.322
CA-2019-109491,2019-02-20,LC-16930,TEC-AC-10001284,62.31,3,22.4316
CA-2019-109491,2019-02-20,LC-16930,FUR-FU-10000221,20.32,4,6.9088
CA-2019-164903,2019-02-20,SR-20740,OFF-PA-10003363,12.96,2,6.2208
CA-2019-165540,2019-02-21,TM-21010,OFF-BI-10004094,8.85,5,-13.7175
CA-2019-133354,2019-02-22,SA-20830,OFF-PA-10001800,19.44,3,9.3312
CA-2019-103744,2019-02-23,MG-17875,OFF-LA-10004425,6.936,3,2.3409
CA-2019-103744,2019-02-23,MG-17875,OFF-BI-10000320,4.428,3,-6.8634
US-2019-137680,2019-02-24,JH-15430,OFF-PA-10000174,32.896,4,11.1024
US-2019-137680,2019-02-24,JH-15430,OFF-PA-10000069,22.776,3,7.6869
CA-2019-156545,2019-02-27,JS-16030,OFF-AR-10003560,19.456,4,3.4048
CA-2019-113880,2019-03-01,VF-21715,FUR-CH-10000863,634.116,6,-172.1172
CA-2019-104269,2019-03-01,DB-13060,FUR-CH-10004063,457.568,2,51.4764
CA-2019-131009,2019-03-01,SC-20380,FUR-CH-10001270,362.25,6,0.0
CA-2019-131009,2019-03-01,SC-20380,OFF-FA-10004395,18.84,5,-3.5325
US-2019-143707,2019-03-01,HR-14770,TEC-PH-10003655,5.94,3,1.6038
CA-2019-168312,2019-03-01,GW-14605,FUR-TA-10001866,376.509,3,-43.0296
CA-2019-168312,2019-03-01,GW-14605,OFF-ST-10003692,137.352,3,8.5845
CA-2019-131009,2019-03-01,SC-20380,OFF-ST-10001469,129.552,3,-22.6716
CA-2019-113880,2019-03-01,VF-21715,OFF-PA-10003036,17.472,3,5.6784
CA-2019-131009,2019-03-01,SC-20380,FUR-FU-10001095,63.552,6,-34.9536
CA-2019-107524,2019-03-02,KN-16705,OFF-PA-10000587,36.4,5,17.472
CA-2019-107524,2019-03-02,KN-16705,OFF-EN-10001990,11.36,2,5.3392
CA-2019-111157,2019-03-02,NH-18610,TEC-AC-10004353,151.2,3,32.13
CA-2019-111157,2019-03-02,NH-18610,OFF-PA-10000327,3.424,1,1.07
CA-2019-155852,2019-03-03,AJ-10945,OFF-AR-10003560,19.456,4,3.4048
US-2019-127978,2019-03-03,JS-15595,FUR-BO-10001972,302.45,5,-199.617
CA-2019-130421,2019-03-03,SC-20020,OFF-AP-10002534,176.772,3,-459.6072
